case_id,case_type
872,單純原被告各一
873,單純原被告各一
874,單純原被告各一
875,單純原被告各一
876,單純原被告各一
877,單純原被告各一+§188僱用人案型
878,單純原被告各一
879,單純原被告各一
880,單純原被告各一
881,單純原被告各一
882,單純原被告各一
883,單純原被告各一
884,單純原被告各一
885,單純原被告各一+§188僱用人案型
886,單純原被告各一
887,數名原告
888,數名原告
889,單純原被告各一
890,單純原被告各一
891,單純原被告各一
892,單純原被告各一
893,單純原被告各一
894,單純原被告各一
895,單純原被告各一
896,單純原被告各一
897,單純原被告各一
898,單純原被告各一
899,單純原被告各一
900,原被告皆數名
901,單純原被告各一
902,單純原被告各一
903,單純原被告各一
904,單純原被告各一
905,數名被告
906,單純原被告各一
907,單純原被告各一
908,單純原被告各一+§188僱用人案型
909,單純原被告各一
910,單純原被告各一
911,單純原被告各一
912,單純原被告各一+§188僱用人案型
913,單純原被告各一
914,單純原被告各一
915,單純原被告各一
916,單純原被告各一
917,單純原被告各一
918,單純原被告各一
919,單純原被告各一
920,單純原被告各一
921,單純原被告各一
922,單純原被告各一
923,單純原被告各一
924,單純原被告各一
925,單純原被告各一
926,單純原被告各一
927,單純原被告各一
928,數名原告
929,單純原被告各一
930,數名被告
931,單純原被告各一+§188僱用人案型
932,單純原被告各一
933,單純原被告各一+§188僱用人案型
934,單純原被告各一
935,單純原被告各一
936,單純原被告各一
937,單純原被告各一+§188僱用人案型
938,單純原被告各一
939,單純原被告各一
940,單純原被告各一
941,單純原被告各一
942,單純原被告各一
943,單純原被告各一
944,單純原被告各一
945,單純原被告各一
946,單純原被告各一
947,單純原被告各一
948,單純原被告各一+§188僱用人案型
949,單純原被告各一
950,單純原被告各一
951,單純原被告各一
952,單純原被告各一
953,單純原被告各一
954,單純原被告各一
955,單純原被告各一
956,單純原被告各一
957,單純原被告各一
958,單純原被告各一
959,單純原被告各一
960,單純原被告各一
961,單純原被告各一
962,單純原被告各一
963,單純原被告各一
964,單純原被告各一
965,單純原被告各一
966,單純原被告各一
967,單純原被告各一
968,單純原被告各一
969,單純原被告各一
970,單純原被告各一+§188僱用人案型
971,單純原被告各一
972,單純原被告各一
973,單純原被告各一
974,單純原被告各一
975,單純原被告各一
976,單純原被告各一
977,單純原被告各一
978,單純原被告各一
979,單純原被告各一
980,單純原被告各一
981,單純原被告各一
982,單純原被告各一
983,單純原被告各一
984,單純原被告各一+§188僱用人案型
985,單純原被告各一
986,單純原被告各一
987,單純原被告各一
988,單純原被告各一
989,單純原被告各一
990,單純原被告各一
991,單純原被告各一
992,單純原被告各一
993,單純原被告各一
994,數名原告+§188僱用人案型
995,單純原被告各一
